_id,followers_count,company_video_containerId,company_gender,weiboName,fans_scheme,profile_url,follow_count,follow_scheme,state_count,company_weibo_containerId,companyId,article_scheme,company_profile_containerId,company_description
"5b6456ee0d8c791bc480777a","1568139","1078031998321847","m","360公司","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1998321847&luicode=10000011&lfid=1005051998321847","https://m.weibo.cn/u/1998321847?uid=1998321847&luicode=10000011&lfid=1005051998321847","436","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1998321847&luicode=10000011&lfid=1005051998321847","12403","1076031998321847","1998321847","https://m.weibo.cn/p/index?containerid=2303190002_445_1998321847_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051998321847","2302831998321847","360公司官方信息发布平台！"
"5b6456ef0d8c791bc480777b","2978555","2315672139359753","m","扇贝网","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_2139359753&luicode=10000011&lfid=1005052139359753","https://m.weibo.cn/u/2139359753?uid=2139359753&luicode=10000011&lfid=1005052139359753","257","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_2139359753&luicode=10000011&lfid=1005052139359753","9167","1076032139359753","2139359753","https://m.weibo.cn/p/index?containerid=2303190002_445_2139359753_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005052139359753","2302832139359753","扇贝（shanbay.com）。"
"5b6456ef0d8c791bc480777c","4580","1078035294647313","m","国家开发银行","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_5294647313&luicode=10000011&lfid=1005055294647313","https://m.weibo.cn/u/5294647313?uid=5294647313&luicode=10000011&lfid=1005055294647313","23","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_5294647313&luicode=10000011&lfid=1005055294647313","2202","1076035294647313","5294647313","https://m.weibo.cn/p/index?containerid=2303190002_445_5294647313_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005055294647313","2302835294647313",""
"5b6456ef0d8c791bc480777d","314270","2315675171482644","m","卫龙食品","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_5171482644&luicode=10000011&lfid=1005055171482644","https://m.weibo.cn/u/5171482644?uid=5171482644&luicode=10000011&lfid=1005055171482644","402","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_5171482644&luicode=10000011&lfid=1005055171482644","2992","1076035171482644","5171482644","https://m.weibo.cn/p/index?containerid=2303190002_445_5171482644_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005055171482644","2302835171482644","有钱、任性"
"5b6456f00d8c791bc480777e","30460","1078031921792607","m","德勤中国DeloitteChina","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1921792607&luicode=10000011&lfid=1005051921792607","https://m.weibo.cn/u/1921792607?uid=1921792607&luicode=10000011&lfid=1005051921792607","50","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1921792607&luicode=10000011&lfid=1005051921792607","2443","1076031921792607","1921792607","https://m.weibo.cn/p/index?containerid=2303190002_445_1921792607_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051921792607","2302831921792607",""
"5b6456f10d8c791bc480777f","114985","1078031904964963","m","毕马威中国-KPMG","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1904964963&luicode=10000011&lfid=1005051904964963","https://m.weibo.cn/u/1904964963?uid=1904964963&luicode=10000011&lfid=1005051904964963","212","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1904964963&luicode=10000011&lfid=1005051904964963","682","1076031904964963","1904964963","https://m.weibo.cn/p/index?containerid=2303190002_445_1904964963_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051904964963","2302831904964963","毕马威是一个由专业服务成员所组成的全球网络。成员所遍布全球154个国家和地区，拥有专业人员200,000名，提供审计、税务和咨询等专业服务。"
"5b6456f10d8c791bc4807780","49412","1078031982652331","m","银河证券财富管理","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1982652331&luicode=10000011&lfid=1005051982652331","https://m.weibo.cn/u/1982652331?uid=1982652331&luicode=10000011&lfid=1005051982652331","127","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1982652331&luicode=10000011&lfid=1005051982652331","7203","1076031982652331","1982652331","https://m.weibo.cn/p/index?containerid=2303190002_445_1982652331_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051982652331","2302831982652331","中国银河证券股份有限公司（以下简称“公司”，股票代码：06881.HK）是中国证券行业领先的综合性金融服务提供商，提供经纪、销售和交易、投资银行等综合证券服务。 2007年1月26日，公司经中国证监会批准，由中国银河金融控股有限责任公司作为主发起人，联合4家国内机构投资者共同发起正式成立。中央汇金投资有限责任公司为公司实际控制人。公司本部设在北京，注册资本为人民币75.37亿元。截至2013年12月底，公司共有员工6900余人。 公司的经营范围为：证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品业务。 公司旗下拥有银河创新资本管理有限公司、中国银河国际金融控股有限公司、银河期货有限公司和银河金汇证券资产管理有限公司。 公司于2013年5月22日在香港联合交易所上市，控股股东为中国银河金融控股有限责任公司。 地 址：中国北京西城区金融大街35号国际企业大厦C座 客服电话：95551或4008-888-888"
"5b6456f20d8c791bc4807781","425242","2315671687053504","m","戴尔中国","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1687053504&luicode=10000011&lfid=1005051687053504","https://m.weibo.cn/u/1687053504?uid=1687053504&luicode=10000011&lfid=1005051687053504","742","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1687053504&luicode=10000011&lfid=1005051687053504","17483","1076031687053504","1687053504","https://m.weibo.cn/p/index?containerid=2303190002_445_1687053504_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051687053504","2302831687053504","戴尔官方微博。戴尔中国(Dell China)为您提供随需定制的计算机,笔记本电脑,台式机,打印机,服务器,存储器,便携设备,电子产品及附件等.自主配置您的计算机,及时获得最新科技所带来的优化价值。 官网：http://t.cn/aEvFqw 售前咨询： 400-885-9763(手机) 800-858-2609(座机) 售后支持：www.dell.com.cn/support 维修网点：www.dell.com.cn/cis"
"5b6456f20d8c791bc4807782","2589160","2315671847000261","m","惠普电脑","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_1847000261&luicode=10000011&lfid=1005051847000261","https://m.weibo.cn/u/1847000261?uid=1847000261&luicode=10000011&lfid=1005051847000261","213","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_1847000261&luicode=10000011&lfid=1005051847000261","8707","1076031847000261","1847000261","https://m.weibo.cn/p/index?containerid=2303190002_445_1847000261_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005051847000261","2302831847000261","创造令人惊叹的体验，追求创新的技术，我们的目的只有一个：让每个人的生活，随时、随地，随心。"
"5b6456f20d8c791bc4807783","57521","1078032133102750","m","科大讯飞","https://m.weibo.cn/p/index?containerid=231051_-_fans_intimacy_-_2133102750&luicode=10000011&lfid=1005052133102750","https://m.weibo.cn/u/2133102750?uid=2133102750&luicode=10000011&lfid=1005052133102750","657","https://m.weibo.cn/p/index?containerid=231051_-_followersrecomm_-_2133102750&luicode=10000011&lfid=1005052133102750","3714","1076032133102750","2133102750","https://m.weibo.cn/p/index?containerid=2303190002_445_2133102750_WEIBO_ARTICLE_LIST_DETAIL&count=20&luicode=10000011&lfid=1005052133102750","2302832133102750","亚太地区最大的智能语音和人工智能上市公司。让我们一起用人工智能建设美好世界吧！"
